Oblast, City, Index
Київ,м. Київ,1001
Київ,м. Київ,1008
Київ,м. Київ,1010
Київ,м. Київ,1011
Київ,м. Київ,1013
Київ,м. Київ,1014
Київ,м. Київ,1015
Київ,м. Київ,1016
Київ,м. Київ,1018
Київ,м. Київ,1019
Київ,м. Київ,1021
Київ,м. Київ,1024
Київ,м. Київ,1029
Київ,м. Київ,1032
Київ,м. Київ,1033
Київ,м. Київ,1042
Київ,м. Київ,1043
Київ,м. Київ,1044
Київ,м. Київ,1051
Київ,м. Київ,1054
Київ,м. Київ,1103
Київ,м. Київ,1104
Київ,м. Київ,1133
Київ,м. Київ,1135
Київ,м. Київ,1196
Київ,м. Київ,1220
Київ,м. Київ,1251
Київ,м. Київ,1601
Київ,м. Київ,2002
Київ,м. Київ,2005
Київ,м. Київ,2034
Київ,м. Київ,2055
Київ,м. Київ,2059
Київ,м. Київ,2064
Київ,м. Київ,2068
Київ,м. Київ,2072
Київ,м. Київ,2081
Київ,м. Київ,2088
Київ,м. Київ,2089
Київ,м. Київ,2090
Київ,м. Київ,2091
Київ,м. Київ,2092
Київ,м. Київ,2093
Київ,м. Київ,2094
Київ,м. Київ,2095
Київ,м. Київ,2096
Київ,м. Київ,2097
Київ,м. Київ,2098
Київ,м. Київ,2099
Київ,м. Київ,2100
Київ,м. Київ,2101
Київ,м. Київ,2102
Київ,м. Київ,2105
Київ,м. Київ,2121
Київ,м. Київ,2122
Київ,м. Київ,2125
Київ,м. Київ,2129
Київ,м. Київ,2130
Київ,м. Київ,2132
Київ,м. Київ,2137
Київ,м. Київ,2138
Київ,м. Київ,2139
Київ,м. Київ,2140
Київ,м. Київ,2141
Київ,м. Київ,2144
Київ,м. Київ,2147
Київ,м. Київ,2149
Київ,м. Київ,2152
Київ,м. Київ,2154
Київ,м. Київ,2155
Київ,м. Київ,2156
Київ,м. Київ,2160
Київ,м. Київ,2161
Київ,м. Київ,2163
Київ,м. Київ,2166
Київ,м. Київ,2167
Київ,м. Київ,2175
Київ,м. Київ,2183
Київ,м. Київ,2184
Київ,м. Київ,2192
Київ,м. Київ,2206
Київ,м. Київ,2217
Київ,м. Київ,2218
Київ,м. Київ,2221
Київ,м. Київ,2222
Київ,м. Київ,2223
Київ,м. Київ,2224
Київ,м. Київ,2225
Київ,м. Київ,2226
Київ,м. Київ,2230
Київ,м. Київ,2232
Київ,м. Київ,2300
Київська,м. Вишгород,2301
Київська,с. Щасливе,2302
Київ,м. Київ,2303
Київ,м. Київ,3020
Київ,м. Київ,3022
Київ,м. Київ,3026
Київська,с. Новосілки,3027
Київ,м. Київ,3028
Київ,м. Київ,3035
Київ,м. Київ,3036
Київ,м. Київ,3037
Київ,м. Київ,3038
Київ,м. Київ,3039
Київ,м. Київ,3040
Київ,м. Київ,3041
Київ,м. Київ,3045
Київ,м. Київ,3047
Київ,м. Київ,3048
Київ,м. Київ,3049
Київ,м. Київ,3056
Київ,м. Київ,3057
Київ,м. Київ,3058
Київ,м. Київ,3061
Київ,м. Київ,3062
Київ,м. Київ,3063
Київ,м. Київ,3065
Київ,м. Київ,3066
Київ,м. Київ,3067
Київ,м. Київ,3069
Київ,м. Київ,3083
Київ,м. Київ,3087
Київ,м. Київ,3110
Київ,м. Київ,3113
Київ,м. Київ,3115
Київ,м. Київ,3117
Київ,м. Київ,3118
Київ,м. Київ,3124
Київ,м. Київ,3126
Київ,м. Київ,3127
Київ,м. Київ,3131
Київ,м. Київ,3134
Київ,м. Київ,3142
Київ,м. Київ,3143
Київ,м. Київ,3145
Київ,м. Київ,3146
Київ,м. Київ,3148
Київ,м. Київ,3150
Київ,м. Київ,3151
Київ,м. Київ,3153
Київ,м. Київ,3158
Київ,м. Київ,3162
Київ,м. Київ,3164
Київ,м. Київ,3165
Київ,м. Київ,3168
Київ,м. Київ,3170
Київ,м. Київ,3179
Київ,м. Київ,3182
Київ,м. Київ,3186
Київ,м. Київ,3187
Київ,м. Київ,3188
Київ,м. Київ,3189
Київ,м. Київ,3190
Київ,м. Київ,3191
Київ,м. Київ,3193
Київ,м. Київ,3194
Київ,м. Київ,3195
Київ,м. Київ,4050
Київ,м. Київ,4052
Київ,м. Київ,4053
Київ,м. Київ,4060
Київ,м. Київ,4070
Київ,м. Київ,4071
Київ,м. Київ,4073
Київ,м. Київ,4074
Київ,м. Київ,4075
Київ,м. Київ,4076
Київ,м. Київ,4077
Київ,м. Київ,4078
Київ,м. Київ,4079
Київ,м. Київ,4080
Київ,м. Київ,4082
Київ,м. Київ,4084
Київ,м. Київ,4085
Київ,м. Київ,4086
Київ,м. Київ,4106
Київ,м. Київ,4107
Київ,м. Київ,4108
Київ,м. Київ,4111
Київ,м. Київ,4112
Київ,м. Київ,4114
Київ,м. Київ,4116
Київ,м. Київ,4119
Київ,м. Київ,4120
Київ,м. Київ,4123
Київ,м. Київ,4128
Київ,м. Київ,4136
Київ,м. Київ,4159
Київ,м. Київ,4176
Київ,м. Київ,4200
Київ,м. Київ,4201
Київ,м. Київ,4202
Київ,м. Київ,4203
Київ,м. Київ,4205
Київ,м. Київ,4207
Київ,м. Київ,4208
Київ,м. Київ,4209
Київ,м. Київ,4210
Київ,м. Київ,4211
Київ,м. Київ,4212
Київ,м. Київ,4213
Київ,м. Київ,4214
Київ,м. Київ,4215
Київ,м. Київ,4216
Київ,м. Київ,5300
Київська,смт Калинівка,5301
Київська,с. Чубинське,5303
Київ,м. Київ,5304
Київська,м. Бровари,5305
Київська,м. Бровари,5306
Київська,с. Дударків,5308
Київська,м. Бровари,5309
Київська,м. Бровари,5311
Київська,с. Чубинське,5313
Київ,м. Київ,5314
Київська,м. Бровари,5315
Київська,с. Радинка,7024
Київська,с. Буда-Радинська,7025
Київська,с. Нівецьке,7026
Київська,с. Черемошна,7027
Київська,с. Городещина,7028
Київська,с. Дубова,7029
Київська,с. Омелянівка,7030
Київська,с. Луговики,7031
Київська,с. Зірка,7032
Київська,с. Рагівка,7033
Київська,с. Мар'янівка,7034
Київська,с. Федорівка,7035
Київська,с. Лісове,7036
Київська,с. Буда Вовчківська,7037
Київська,с. Зелена Поляна,7038
Київська,с. Калинівка,7039
Київська,с. Максимовичі,7040
Київська,с. Млачівка,7041
Київська,с. Дубова,7042
Київська,с. Шкнева,7043
Київська,с. Вовчків,7044
Київська,с. Стара Марківка,7045
Київська,с. Стовпне,7046
Київська,с. Стещина,7050
Київська,с. Романівка,7051
Київська,с. Левковичі,7052
Київська,смт Красятичі,7053
Київська,с. Залишани,7054
Київська,с. Вересня,7055
Київська,с. Міхлівщина,7057
Київська,м. Славутич,7101
Київська,смт Іванків,7201
Київська,с. Білий Берег,7204
Київська,с. Сукачі,7205
Київська,с. Воропаївка,7206
Київська,с. Доманівка,7207
Київська,с. Запрудка,7208
Київська,с. Захарівка,7209
Київська,с. Димарка,7210
Київська,с. Мусійки,7211
Київська,с. Красилівка,7212
Київська,с. Піски,7213
Київська,с. Старі Соколи,7214
Київська,с. Карпилівка,7216
Київська,с. Калинове,7217
Київська,с. Ковалівка,7218
Київська,с. Коленцівське,7219
Київська,с. Дитятки,7220
Київська,с. Зорин,7221
Київська,с. Горностайпіль,7222
Київська,с. Губин,7223
Київська,с. Мокра Корма,7224
Київська,с. Страхолісся,7225
Київська,с. Медвин,7226
Київська,с. Нові Макалевичі,7227
Київська,с. Нові Соколи,7228
Київська,с. Старий Міст,7229
Київська,с. Жміївка,7230
Київська,с. Олізарівка,7231
Київська,с. Сидоровичі,7232
Київська,с. Варівськ,7233
Київська,с. Кропивня,7234
Київська,с. Верхолісся,7235
Київська,с. Людвинівка,7236
Київська,с. Пироговичі,7237
Київська,с. Підгайне,7238
Київська,с. Полідарівка,7239
Київська,с. Термахівка,7240
Київська,с. Розважів,7241
Київська,с. Олива,7242
Київська,с. Кухарі,7243
Київська,с. Заруддя,7244
Київська,с. Тетерівське,7245
Київська,с. Осовець,7246
Київська,с. Поталіївка,7247
Київська,с. Потоки,7248
Київська,с. Рахвалівка,7249
Київська,с. Оране,7250
Київська,с. Макарівка,7251
Київська,с. Русаки,7252
Київська,с. Прибірськ,7253
Київська,с. Обуховичі,7254
Київська,с. Рокитна Слобода,7255
Київська,с. Рудня-Сидорівська,7256
Київська,с. Рудня-Тальська,7257
Київська,с. Рудня-Шпилівська,7258
Київська,с. Слобода-Кухарська,7259
Київська,с. Шпилі,7260
Київська,с. Блідча,7261
Київська,с. Коленці,7262
Київська,с. Феневичі,7263
Київська,с. Соснівка,7264
Київська,с. Ставрівка,7265
Київська,с. Станішівка,7266
Київська,с. Старовичі,7268
Київська,с. Степанівка,7269
Київська,м. Чорнобиль,7270
Київська,с. Чкаловка,7279
Київська,с. Болотня,7281
Київська,с. Федорівка,7282
Київська,с. Фрузинівка,7283
Київська,с. Хочева,7284
Київська,с. Шевченкове,7286
Київська,с. Шевченкове,7287
Київська,с. Яхнівка,7288
Київська,с. Жерева,7290
Київська,с. Жеревпілля,7291
Київська,с. Зимовище,7292
Київська,с. Лапутьки,7293
Київська,с. Леонівка,7294
Київська,с. Рудня-Левківська,7296
Київська,с. Мала Макарівка,7298
Київська,м. Вишгород,7300
Київська,м. Вишгород,7301
Київська,м. Вишгород,7302
Київська,с. Володимирівка,7303
Київська,с. Овдієва Нива,7304
Київська,с. Пилява,7305
Київська,с. Богдани,7306
Київська,с. Боденьки,7307
Київська,с. Каменка,7308
Київська,с. Круги,7309
Київська,с. Ритні,7310
Київська,с. Вахівка,7311
Київська,с. Рудня-Димерська,7312
Київська,с. Катюжанка,7313
Київська,с. Абрамівка,7314
Київська,с. Гута-Катюжанська,7315
Київська,с. Дудки,7316
Київська,с. Любидва,7317
Київська,с. Савенки,7318
Київська,с. Рихта,7319
Київська,с. Сухолуччя,7320
Київська,с. Любимівка,7321
Київська,с. Андріївка,7322
Київська,с. Толокунь,7323
Київська,с. Ясногородка,7324
Київська,с. Дмитрівка,7325
Київська,с. Сичівка,7326
Київська,с. Ровжі,7327
Київська,с. Розтісне,7328
Київська,смт Димер,7330
Київська,с. Козаровичі,7332
Київська,с. Глібівка,7333
Київська,с. Литвинівка,7334
Київська,с. Демидів,7335
Київська,с. Лісовичі,7336
Київська,с. Миколаївка,7337
Київська,с. Рикунь,7338
Київська,с. Сувид,7340
Київська,с. Жукин,7341
Київська,с. Пірнове,7342
Київська,с. Воропаїв,7343
Київська,с. Вища Дубечня,7344
Київська,с. Гаврилівка,7350
Київська,с. Синяк,7351
Київська,с. Лютіж,7352
Київська,с. Старі Петрівці,7353
